Title,Job_Type,Location
Data Collection and Data Entry Specialist,Not specified,Remote
Data Science Tutor/Instructor,Not specified,Lagos
Senior Data Analyst,Not specified,Remote
Data Analyst,Not specified,Lagos
Azure Engineer,Not specified,Lagos
Data Analyst,Not specified,Port Harcourt 
Data Analyst,Not specified,Rivers State
Database Administrator,Not specified,Lagos
Data Analyst,Not specified,Remote
"Manager, People Data Management",Not specified,Remote
"Process, Data & Analytics, Manager",Not specified,Remote
Data Analyst,Not specified,Lagos
Data Controller,Not specified,Port Harcourt 
Data Controller,Not specified,Rivers State
Graduate Intern (Research and / or Data Management),Full Time,Abuja
Principal Programme Officer Statistical Harmonization and Data Management,Full Time,Abuja
Senior HR Assistant Data Management,Full Time,Abuja
Programme Officer Data Management,Full Time,Abuja
Data Analyst,Full Time,Abuja
"Unit Head, Data Monetization - Nigeria",Full Time,Lagos
"Senior Analyst, Data Architecture - Nigeria",Full Time,Lagos(Hybrid)
Data Analyst & Sales Operations Officer,Full Time,Lagos
Data Analytics & Data Science Instructor,Full Time,Lagos
"Team Lead, Data Centre Operations",Full Time,Lagos
Network/Data Centre Engineer - Dispatch,Full Time,Lagos
Senior Data Scientist,Not specified,Lagos
Salesforce Data Entry Returnee - Global,Not specified,Remote
"Team Lead, Data Centre Operations",Full Time,Lagos
AWS Cloud Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Collector and Enumerator,Full Time,Yobe
Data Science for Creatives,Full Time,Abia
Data Analyst,Full Time,Lagos
Head Data Commercialization,Full Time,Lagos
Enumerator / Data Collection Personnel,Not specified,Abia 
Enumerator / Data Collection Personnel,Not specified,Akwa Ibom
Enumerator / Data Collection Personnel,Not specified,Cross River
Enumerator / Data Collection Personnel,Not specified,Ekiti
Enumerator / Data Collection Personnel,Not specified,Ogun 
Enumerator / Data Collection Personnel,Not specified,Ondo
Enumerator / Data Collection Personnel,Not specified,Osun
"Data Analyst, Schools",Full Time,Lagos
Data Dashboard Developer,Full Time,Abuja
Data Dashboard Developer,Full Time,Lagos
Data Analyst,Not specified,Abuja
Data Specialist,Full Time,Abia
Data Analyst,Full Time,Lagos
Data Analyst/Scientist,Full Time,Abuja
"Branch Chief, Monitoring, Evaluation & Data Analytics",Full Time,Lagos
Data Analyst,Full Time,Lagos
Tutor- Data science,Full Time,Benue
Receivable Data Entry Officer,Full Time,Anambra
Data Engineer - Big Data,Full Time,Lagos
Data Analyst,Full Time,Not specified
Senior Data Base Administrator,Full Time,Lagos
Data Sales Consultant,Full Time,Kogi
Data Analyst,Full Time,Not specified
Data Sales Consultant,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Operator,Full Time,Ogun
Investment Data Analyst,Full Time,Lagos
Data Collectors/Supervisors- Lead Mothers Quantitative Study,Full Time,Kano
Master and Reference Data Analyst,Full Time,Lagos
Data Governance Team Lead,Full Time,Lagos
Data Quality Team Member,Full Time,Lagos
"Senior Data Engineer - Global, Remote",Full Time,Lagos
Data Sales Consultant,Full Time,Lagos
Data Analyst,Full Time,Not specified
Data Science Specialist,Full Time,Plateau
Production Data Entry Officer,Full Time,Anambra
Inventory Data Entry Officer,Full Time,Anambra
Senior Data Analyst,Full Time,Lagos
Data Analytics and Visualization Program Associate,Full Time,Abuja
Data Analyst,Full Time,Lagos
Generative AI and Data Science Internship Program,Full Time,Abia
Financial Data Analyst,Full Time,Lagos
"Nutrition Officer (Data, Analytics and Evidence)",Full Time,Sokoto
Data Analyst Instructor,Full Time,Lagos
Data Analysis Resource Person,Full Time,Oyo
Data Analyst,Full Time,Lagos
Data Entry Assistant,Full Time,Edo
Technical Officer - Data Visualization,Full Time,Abuja
Senior Pre-Sales Engineer (Data Centre Solutions & BMS),Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Data Ops Manager,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Head, Data Governance",Full Time,Lagos
 Data Entry Clerk (3rd 95 Lead) ,Full Time,Edo
Data Entry Clerk (Generic),Full Time,Edo
Data Processing Officer II,Full Time,Rivers
Data Engineer,Full Time,Lagos
Data Insight Analyst,Not specified,Lagos
Data Engineering Manager,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Clerk,Contract,Taraba
Data Integrity and Reconciliation Manager,Full Time,Lagos
HR Data Analyst,Full Time,Lagos
"Data Analyst (Python, SQL",Full Time,Lagos
Data-Business Analyst,Full Time,Lagos
Data Center Director,Full Time,Lagos
Data Analyst,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Quality and Capture Officer,Full Time,Abuja
Data Visualisation Officer,Full Time,Abuja
CNC Programmer and Data Operator,Full Time,Lagos
Data Engineer,Full Time,Lagos
Contract Data Cabling Technician,Full Time,Abuja
Data Processing Teacher,Full Time,Rivers
"Team Lead, Data Centre Operations",Full Time,Lagos
Data Analyst (Team Lead),Full Time,Lagos
Head of Data Science,Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Senior Pre-Sales Engineer (Data Centre Solutions & BMS),Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Collector,Full Time,Lagos
Data Scientist,Full Time,Lagos
Operations Data Analyst (Cement),Full Time,Benue
Operations Data Analyst (Cement),Full Time,Kogi
Operations Data Analyst (Cement),Full Time,Ogun
Data Center Engineer,Full Time,Lagos
Data Engineering Manager,Full Time,Lagos
Data Analyst,Not specified,Lagos
Data Engineer,Full Time,Lagos
Data Collection Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Not specified,Lagos
Growth Data Analyst,Full Time,Lagos
"Data Scientist, Marketing and Growth",Full Time,Lagos
Data Analyst (MIS),Full Time,Ogun
Data Scientist,Full Time,Abuja
Computer / Data Processing Teacher ,Full Time,Lagos
Data Entry Assistant,Not specified,Lagos
Data science Tutor,Full Time,Anambra
Data Analyst,Full Time,Lagos
"Data Asset Privacy, Consent and Compliance",Full Time,Lagos
Data Governance Lead,Full Time,Lagos
Volunteer Data Analyst,Full Time,Delta
Data Analyst,Full Time,Abuja
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
"Data Analytics and Data Science Tutor - NYSC Member, PPA",Full Time,Abuja
Junior HR Data-Analyst (Female),Full Time,Lagos
Sales Team Lead (Data Analytics),Full Time,Lagos
Data Engineer,Not specified,Lagos
Data Entry Officer,Full Time,Abuja
Data Analytics and Visualization Instructor,Not specified,Abuja
Data Science and Machine Learning Instructor,Not specified,Abuja
Python Data Scientist,Full Time,Abuja
Data and Management Information System Manager,Full Time,Lagos
Data Entry Clerk,Full Time,Kano
Data Entry Clerk,Full Time,Taraba
Data Administrator,Full Time,Rivers
Data Engineer,Full Time,Abia
Data Engineer,Full Time,Lagos
"National Research, Data and Policy Officer",Full Time,Abuja
Data Science Tutor,Full Time,Abuja
Data Science Tutor,Full Time,Anambra
Data Science Tutor,Full Time,Benue
Data Science Tutor,Full Time,Delta
HR Data Analyst,Full Time,Lagos
Data Center Planning and Design Manager,Full Time,Lagos
Data Analyst I,Full Time,Lagos
Data Entry Officer II,Full Time,Lagos
Data Intern,Not specified,Lagos
Africa Partner Cloud Solution Architect (Azure Data & AI),Full Time,Lagos
Senior Data Analyst - Nigeria,Full Time,Abia
Contract Data Cabling Technician,Full Time,Abuja
Senior Portfolio and Data Analytics Officer,Full Time,Not specified
Data Science Intern,Full Time,Lagos
Head of Data Science,Full Time,Lagos
Data Entry Specialist,Full Time,Ondo
Data Scientist,Full Time,Lagos
Data Analyst Activity Manager,Full Time,Kano
Big Data Developer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Accountant,Full Time,Lagos
"Director, Research and Data Analysis",Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Finance and Data Intern,Full Time,Lagos
Data Mining Officer,Full Time,Not specified
Higher Data Processing Officer,Full Time,Lagos
SMC End of Round Data Collectors’ LGA Supervisor - Taraba,Full Time,Taraba
SMC End of Round Data Collectors' LGA Supervisor - Katsina,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Capturer,Full Time,Lagos
Data Centre Support,Full Time,Lagos
Data Entry Clerk,Full Time,Lagos
Data Analyst,Full Time,Edo
IT & Data Privacy Compliance Auditor,Full Time,Lagos
Data Officer,Not specified,Lagos
Data Analyst,Full Time,Delta
Data Center Facility Engineer,Full Time,Lagos
Data Analyst - Intern,Full Time,Lagos
Data Engineering Lead Trainer,Not specified,Remote
Data Centre Technician,Full Time,Lagos
Senior Data Scientist/Prompt Designer/Prompt Engineer,Not specified,Abuja
"Supervisor, Medical Data Entry",Full Time,Ebonyi
"Analyst, Data Privacy",Full Time,Lagos
Technical Data Management Analyst,Full Time,Lagos
Growth Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Kano
Data Warehousing AWS- (Trainer),Part Time ,Lagos
Data Entry Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Evaluation / Data Specialist - Election Portfolio Performance Evaluation,Full Time,Abuja
Data Engineer,Full Time,Lagos
"Course Creator (Data Analysis, Data Science, and Data Engineering)",Full Time,Not specified
Data Protection Officer,Full Time,Abuja
CVM (Customer Value Management) Data & Reporting Analyst,Full Time,Lagos
Senior Business Data Analyst,Full Time,Abuja
Lead Data Officer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Analyst - Data Governance,Full Time,Lagos
Programme Officer Migration Data (FMM II),Full Time,Abuja
Data Analyst – Nigeria IHP,Full Time,Ebonyi
Data Analysis Instructor,Full Time,Oyo
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Abia
Data Officer,Not specified,Lagos
Warehouse Data Officer,Full Time,Borno
Data Assessor(s),Full Time,Akwa Ibom
Data Entry Officer,Not specified,Lagos
Data Collector: SMC Impact Assessment,Full Time,Abuja
Data Collector: SMC Impact Assessment,Full Time,Kogi
Data Collector: SMC Impact Assessment,Full Time,Oyo
"Head, Data Governance & Advisory",Full Time,Lagos
Data Collector,Full Time,Lagos
Business & Data Analyst,Full Time,Oyo
CCIE Data Center Solution Architect,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Specialist,Full Time,Abia
Data Entry & Procurement Officer,Full Time,Lagos
Data Science and Artificial Intelligence Innovations Lead,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Engineer,Full Time,Lagos
Data Entry Intern,Full Time,Lagos
"Senior Program Specialist, Data Analysis & Visualization",Full Time,Abuja
"Data Analyst, Nigeria Monitoring Project-",Full Time,Abuja
Lead / Head Data Governance,Full Time,Lagos
Chief Data Officer,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Center Business Development,Full Time,Lagos
Senior Data Engineer,Full Time,Lagos
Python Data Scientist,Full Time,Abuja
Data Analysts,Full Time,Abuja
Data Analysts,Full Time,Oyo
Senior Data Scientist,Not specified,Lagos
Data Entry Clerks,Full Time,Abuja
Data Entry Clerks,Full Time,Oyo
Data/System Analyst(s),Full Time,Not specified
Senior Data Officer,Full Time,Abia
Graduate Trainee Data Scientist,Full Time,Lagos
Data Processing Teacher,Full Time,Oyo
Data Processing Officer,Full Time,Plateau
Regional Data Analyst,Full Time,Abia
Regional Data Analyst,Full Time,Abuja
Regional Data Analyst,Full Time,Gombe
Regional Data Analyst,Full Time,Kano
Regional Data Analyst,Full Time,Lagos 
Regional Data Analyst,Full Time,Sokoto
Data Analyst,Full Time,Abia
Regional Business Data Analyst,Full Time,Remote
Data Analyst,Full Time,Lagos
Junior Data Quality Scientist,Full Time,Lagos
"Manager, Process, Data & Analytics",Full Time,Abia
"Manager, People Data Management",Full Time,Abia
Data Analyst,Full Time,Edo
Data Analyst,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst (Remote),Not specified,Remote
Data Science Tutor,Full Time,Abuja
Data Science Tutor,Full Time,Benue
Data Science Tutor,Full Time,Delta
Data Entry Analyst,Full Time,Lagos
EHS Specialist - Environmental Data Analyst,Full Time,Rivers
Data Analyst,Full Time,Lagos
Data Entry Analyst,Full Time,Lagos
EHS Specialist - Environmental Data Analyst,Full Time,Rivers
Data Analyst,Full Time,Lagos
Digital Marketing & Data Analysis Assistant,Full Time,Ogun
Data Analyst Officer,Full Time,Lagos
Senior Big Data Engineer,Full Time,Lagos
Volunteer Data Analyst,Full Time,Delta
Data Analyst - NYSC Intern,Full Time,Lagos
Data Entry Clark,Full Time,Lagos
Data Analyst,Full Time,Oyo
Data Protection Officer (DPO),Full Time,Abuja
Sales Data Analyst,Full Time,Lagos
Distribution and Data Officer,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Not specified,Remote
Data Analyst – FCT,Full Time,Abuja
Data Analyst,Full Time,Lagos
Data Analyst – Nigeria IHP,Full Time,Ebonyi
Supervisor - Medical Data Entry,Full Time,Sokoto
Senior Data Modeler,Full Time,Lagos
Group Financial Planning and Analysis Manager - Data Analytics Competence,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Assistant,Full Time,Abuja
Data Assistant,Full Time,Kwara
Data Assistant,Full Time,Lagos
Computer/Data Processing Teacher,Full Time,Abia
Data Analyst,Full Time,Lagos
Data Processing / Computer Teacher,Full Time,Kwara
Data Administrator,Contract,Lagos
Computer / Data Processing Teacher,Full Time,Ondo
Python Data Scientist,Full Time,Abuja
Accounting Data Entry Officer,Full Time,Lagos
Data Engineer,Full Time,Lagos
Consultancy to conduct Data Quality Assurance (DQA),Contract,Adamawa
Consultancy to conduct Data Quality Assurance (DQA),Contract,Borno
Consultancy to conduct Data Quality Assurance (DQA),Contract,Yobe
Data Engineer-Talent Pipeline,Full Time,Lagos
Data Engineer - AWS (Trainer),Full Time,Lagos
Engineer - Data Centre,Full Time,Lagos
Data Collection Supervisor,Full Time,Borno
Data Collection Supervisor,Full Time,Cross River
Data Collection Supervisor,Full Time,Ebonyi
Data Collection Supervisor,Full Time,Kaduna
Data Collection Supervisor,Full Time,Kebbi
Data Collection Supervisor,Full Time,Niger
Business and Data Analyst,Full Time,Lagos
Data Analytics & AI Facilitator,Part Time,Lagos
"Practice Lead, Cloud & Data Analytics",Full Time,Lagos
Junior Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Abuja
Senior Data Scientist,Full Time,Lagos
Data Engineer,Full Time,Lagos
"Principal Advisor, Data Use and Decision Science",Full Time,Abia
"LTE Program Officer – Data, Analytics, Measurement, Learning & Evaluation",Full Time,Abuja
Data Entry Operator - Malaria / Nutrition Peak - Bauchi,Full Time,Bauchi
Data Entry Officer,Full Time,Lagos
"Head, Performance & Data Management",Contract,Lagos
"Head, Performance & Data Management",Full Time,Lagos
Logistics Transport Maintainance Data Analyst Services,Contract,Rivers
Data Analyst,Full Time,Ogun
Data Entry Clerk,Full Time,Lagos
Data Collector,Full Time,Bauchi
Data Collector,Full Time,Sokoto
Human Resources Data Analyst,Full Time,Kogi
Head of Data Science,Full Time,Lagos
Data Analysts,Full Time,Ogun
Document and Data Management,Full Time,Lagos
Data Collector,Full Time,Oyo
Data Entry Officer / Uploader,Full Time,Lagos
Data Protection & Privacy Officer,Full Time,Lagos
Data Officer,Full Time,Lagos
Data Entry Operator,Full Time,Lagos
ML/AI Data Scientist,Full Time,Lagos
Strategic Information Associate – Data Analysis,Full Time,Osun
Data Engineer,Full Time,Abuja
Gender Data Assistant,Full Time,Abuja
Data Analyst,Full Time,Lagos
"Senior Data Analyst (Credit Risk, Bank)",Full Time,Lagos
Warehouse Data Entry Officer,Full Time,Lagos
Data Centre Technician,Full Time,Lagos
"Team Lead, Data Analytics",Full Time,Lagos
Business Development Manager (Data Centers),Full Time,Lagos
Laser Scan Data Process Engineer,Full Time,Not specified
Data Analyst,Full Time,Lagos
"Data Officer, Programme Evaluation and Assessment, Research and Learning (PEARL) Unit",Full Time,Abuja
"Data Officer, Programme Evaluation and Assessment, Research and Learning (PEARL) Unit",Full Time,Borno
Data Base Administrator,Full Time,Lagos
Data Analyst & Business Intelligence Specialist,Full Time,Lagos
Digital Delivery and Data Analysis,Full Time,Lagos
Data Infrastructure Engineer,Full Time,Lagos
Data Architect - Azure,Full Time,Lagos
Lead Data Centre,Full Time,Lagos
"Business Performance/Data Analyst, Offline",Full Time,Lagos
Warehouse Operations / Data Analytics Officer,Full Time,Rivers
Data Analyst,Full Time,Lagos
Lecturer II - Data Science,Full Time,Abuja
Lecturer I - Data Science,Full Time,Abuja
In-Country Lead Consultant / Data Collector,Full Time,Abuja
Data Analyst Intern,Full Time,Lagos
Master Data Manager,Full Time,Lagos
"Unit Head, Enterprise Analytics (Finance / Data Analytics / Management) – Nigeria",Full Time,Lagos
"Unit Head, Data Monetization (Data Management / Transformational Analytics / Strategy)",Full Time,Lagos
"Unit Head, Data Architecture & Engineering (Finance / Data Management / Analytics)",Full Time,Lagos
Senior Business Data Analyst,Full Time,Lagos
Data Analyst - Growth,Full Time,Lagos
Data and Documentation Officer,Full Time,Niger
Data Analyst,Full Time,Abia
Junior Data/Ecommerce Analyst,Contract,Lagos
Data Analyst Tutor,Full Time,Lagos
Senior Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Technical Data Analyst,Full Time,Cross River
Technical Data Analyst,Full Time,Lagos
Manager -Business Analytics Data Governance,Full Time,Lagos
Analyst - Data Governance,Full Time,Lagos
Data Analyst Intern,Full Time,Lagos
ETL Developer / Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Kano
Data Analyst and Executive Assistant,Full Time,Oyo
"Senior Data Architect, Data Warehouse & MPP",Full Time,Lagos
"Senior Data Architect, Data Lake",Full Time,Lagos
Data Management Associate,Full Time,Lagos
Data Entry Operator,Full Time,Plateau
Computer / Data Processing Teacher,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Analyst (Mid-Level),Full Time,Lagos
Data Protection Officer,Full Time,Abuja
Data Science Services (DBA) Level 1,Full Time,Lagos
Data Analyst,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Entry Officer,Full Time,Lagos
Data Scientist,Full Time,Abuja
Data Administrator,Contract,Lagos
"Strategic Account Manager, Colo /Cloud / Data Centers",Full Time,Lagos
Computer Studies / Data Processing Teacher,Full Time,Lagos
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Abuja
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Adamawa 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Borno 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,  Ebonyi  
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Gombe
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Niger 
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time, Oyo
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Sokoto
Evaluation / Data Specialist - USAID/Nigeria Education Midterm Portfolio Performance Evaluation,Full Time,Yobe
Data Engineer,Full Time,Lagos
Data Collector,Full Time,Edo
Data Entry Officer,Full Time,Lagos
Senior Data / GIS Analyst,Full Time,Borno
Data Analyst (Entry Level),Full Time,Lagos
"Team Lead, Data Centre Operations (Infrastructure)",Full Time,Lagos
Public Health Specialist (Data Analysis & Visualization),Full Time,Abuja
"Head, Solution & Data",Full Time,Delta
Claims Data & Reimbursement Officer,Full Time,Lagos
"Team Lead, Data Science",Full Time,Lagos
Data Centre Power Systems Technician,Full Time,Lagos
Data / GIS Consultant (PSPA),Full Time,Abia
Data Management Officer,Full Time,Abuja
ERP Data Entry Officer,Full Time,Lagos
Data Entry Personnel - Ota,Full Time,Ogun
Data Analytics & Insights Officer,Full Time,Lagos
Data Warehouse Developer,Full Time,Lagos
Data Entry Personnel,Full Time,Lagos
Head of Data and Research Methods Unit,Full Time,Lagos
Data Collector (Enumerator),Full Time,Cross River
Manager - Campaign Management (Data Devices FBB MoMo and Digital),Full Time,Lagos
Data Entry Officer,Contract,Lagos
Senior Data Engineer,Full Time,Lagos
Data Scientist,Full Time,Lagos
Data Researcher and Automation Expert,Full Time,Oyo
Research & Data Analyst,Full Time,Lagos
Senior Azure Data Engineer ,Full Time,Rivers
Senior Data Scientist,Full Time,Lagos
Data Centre Mechanical Technical Supervisor,Full Time,Lagos
Data Centre Electrical Technical Supervisor,Full Time,Lagos
Data Developer (SQL & DBA),Full Time,Lagos
Data Engineer,Full Time,Lagos
Sports Data Analyst,Full Time,Lagos
Data Center Facility Manager,Full Time,Lagos
Data Entry & Publicity Assistant,Full Time,Lagos
